Name,Web_link,No_of_reviews,Ranking,No_of_bookingoptions
Place de la Sorbonne,https://www.tripadvisor.com/Attraction_Review-g187147-d8442116-Reviews-Place_de_la_Sorbonne-Paris_Ile_de_France.html,41 reviews,#168 of 576 Sights & Landmarks in Paris,
Marche Grenelle,https://www.tripadvisor.com/Attraction_Review-g187147-d188153-Reviews-Marche_Grenelle-Paris_Ile_de_France.html,50 reviews,#179 of 576 Sights & Landmarks in Paris,
Metro Palais Royal,https://www.tripadvisor.com/Attraction_Review-g187147-d4878182-Reviews-Metro_Palais_Royal-Paris_Ile_de_France.html,59 reviews,#182 of 576 Sights & Landmarks in Paris,
Rue St-Dominique,https://www.tripadvisor.com/Attraction_Review-g187147-d188152-Reviews-Rue_St_Dominique-Paris_Ile_de_France.html,76 reviews,#186 of 576 Sights & Landmarks in Paris,
College des Bernardins,https://www.tripadvisor.com/Attraction_Review-g187147-d5607109-Reviews-College_des_Bernardins-Paris_Ile_de_France.html,28 reviews,#187 of 576 Sights & Landmarks in Paris,
Rue Bonaparte,https://www.tripadvisor.com/Attraction_Review-g187147-d208642-Reviews-Rue_Bonaparte-Paris_Ile_de_France.html,38 reviews,#189 of 576 Sights & Landmarks in Paris,
Passage Brady,https://www.tripadvisor.com/Attraction_Review-g187147-d2293360-Reviews-Passage_Brady-Paris_Ile_de_France.html,74 reviews,#191 of 576 Sights & Landmarks in Paris,
Square Rene Viviani,https://www.tripadvisor.com/Attraction_Review-g187147-d6415334-Reviews-Square_Rene_Viviani-Paris_Ile_de_France.html,32 reviews,#193 of 576 Sights & Landmarks in Paris,
Musee de la Franc-Maconnerie,https://www.tripadvisor.com/Attraction_Review-g187147-d5770423-Reviews-Musee_de_la_Franc_Maconnerie-Paris_Ile_de_France.html,37 reviews,#196 of 576 Sights & Landmarks in Paris,
Place de la Nation,https://www.tripadvisor.com/Attraction_Review-g187147-d1908310-Reviews-Place_de_la_Nation-Paris_Ile_de_France.html,49 reviews,#199 of 576 Sights & Landmarks in Paris,
Place des Pyramides,https://www.tripadvisor.com/Attraction_Review-g187147-d8782622-Reviews-Place_des_Pyramides-Paris_Ile_de_France.html,33 reviews,#202 of 576 Sights & Landmarks in Paris,
Galerie Vero-Dodat,https://www.tripadvisor.com/Attraction_Review-g187147-d7812646-Reviews-Galerie_Vero_Dodat-Paris_Ile_de_France.html,27 reviews,#203 of 576 Sights & Landmarks in Paris,1 booking option
Rue d'Alesia,https://www.tripadvisor.com/Attraction_Review-g187147-d189199-Reviews-Rue_d_Alesia-Paris_Ile_de_France.html,48 reviews,#204 of 576 Sights & Landmarks in Paris,
Colonnes de Buren,https://www.tripadvisor.com/Attraction_Review-g187147-d4878174-Reviews-Colonnes_de_Buren-Paris_Ile_de_France.html,50 reviews,#210 of 576 Sights & Landmarks in Paris,1 booking option
Saint-Nicolas-du-Chardonnet,https://www.tripadvisor.com/Attraction_Review-g187147-d7256701-Reviews-Saint_Nicolas_du_Chardonnet-Paris_Ile_de_France.html,32 reviews,#211 of 576 Sights & Landmarks in Paris,
Basilique Notre Dame des Victoires,https://www.tripadvisor.com/Attraction_Review-g187147-d10155289-Reviews-Basilique_Notre_Dame_des_Victoires-Paris_Ile_de_France.html,21 reviews,#213 of 576 Sights & Landmarks in Paris,
Columna Vendome,https://www.tripadvisor.com/Attraction_Review-g187147-d11817158-Reviews-Columna_Vendome-Paris_Ile_de_France.html,21 reviews,#214 of 576 Sights & Landmarks in Paris,
Pont de la Concorde,https://www.tripadvisor.com/Attraction_Review-g187147-d10196212-Reviews-Pont_de_la_Concorde-Paris_Ile_de_France.html,30 reviews,#217 of 576 Sights & Landmarks in Paris,
Le pont Mirabeau,https://www.tripadvisor.com/Attraction_Review-g187147-d4092451-Reviews-Le_pont_Mirabeau-Paris_Ile_de_France.html,30 reviews,#220 of 576 Sights & Landmarks in Paris,
Montparnasse Station,https://www.tripadvisor.com/Attraction_Review-g187147-d8639899-Reviews-Montparnasse_Station-Paris_Ile_de_France.html,109 reviews,#222 of 576 Sights & Landmarks in Paris,
Galerie Colbert,https://www.tripadvisor.com/Attraction_Review-g187147-d7717130-Reviews-Galerie_Colbert-Paris_Ile_de_France.html,21 reviews,#227 of 576 Sights & Landmarks in Paris,
Eglise Saint-Ephrem-le-Syriaque,https://www.tripadvisor.com/Attraction_Review-g187147-d4084035-Reviews-Eglise_Saint_Ephrem_le_Syriaque-Paris_Ile_de_France.html,25 reviews,#233 of 576 Sights & Landmarks in Paris,
Eglise Saint-Eugene - Sainte-Cecile,https://www.tripadvisor.com/Attraction_Review-g187147-d4500616-Reviews-Eglise_Saint_Eugene_Sainte_Cecile-Paris_Ile_de_France.html,18 reviews,#234 of 576 Sights & Landmarks in Paris,
Square Jehan Rictus,https://www.tripadvisor.com/Attraction_Review-g187147-d8453816-Reviews-Square_Jehan_Rictus-Paris_Ile_de_France.html,25 reviews,#236 of 576 Sights & Landmarks in Paris,
Place Furstenburg,https://www.tripadvisor.com/Attraction_Review-g187147-d191148-Reviews-Place_Furstenburg-Paris_Ile_de_France.html,31 reviews,#237 of 576 Sights & Landmarks in Paris,
Rue Jacob,https://www.tripadvisor.com/Attraction_Review-g187147-d194211-Reviews-Rue_Jacob-Paris_Ile_de_France.html,33 reviews,#239 of 576 Sights & Landmarks in Paris,
Rue de Castiglione,https://www.tripadvisor.com/Attraction_Review-g187147-d208640-Reviews-Rue_de_Castiglione-Paris_Ile_de_France.html,30 reviews,#240 of 576 Sights & Landmarks in Paris,
Prefecture de Police de Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d6851149-Reviews-Prefecture_de_Police_de_Paris-Paris_Ile_de_France.html,26 reviews,#242 of 576 Sights & Landmarks in Paris,
Passage Choiseul,https://www.tripadvisor.com/Attraction_Review-g187147-d8768395-Reviews-Passage_Choiseul-Paris_Ile_de_France.html,33 reviews,#246 of 576 Sights & Landmarks in Paris,
Le Centaure de Cesar,https://www.tripadvisor.com/Attraction_Review-g187147-d6982431-Reviews-Le_Centaure_de_Cesar-Paris_Ile_de_France.html,29 reviews,#247 of 576 Sights & Landmarks in Paris,
Castel Beranger,https://www.tripadvisor.com/Attraction_Review-g187147-d6538780-Reviews-Castel_Beranger-Paris_Ile_de_France.html,18 reviews,#248 of 576 Sights & Landmarks in Paris,
Place de Stalingrad,https://www.tripadvisor.com/Attraction_Review-g187147-d246688-Reviews-Place_de_Stalingrad-Paris_Ile_de_France.html,42 reviews,#249 of 576 Sights & Landmarks in Paris,
Maison de Serge Gainsbourg,https://www.tripadvisor.com/Attraction_Review-g187147-d5535430-Reviews-Maison_de_Serge_Gainsbourg-Paris_Ile_de_France.html,33 reviews,#250 of 576 Sights & Landmarks in Paris,
Passage de L'Ancre,https://www.tripadvisor.com/Attraction_Review-g187147-d8848151-Reviews-Passage_de_L_Ancre-Paris_Ile_de_France.html,16 reviews,#251 of 576 Sights & Landmarks in Paris,
Square de l'Ile de France,https://www.tripadvisor.com/Attraction_Review-g187147-d10180824-Reviews-Square_de_l_Ile_de_France-Paris_Ile_de_France.html,18 reviews,#253 of 576 Sights & Landmarks in Paris,
La Fontaine Moliere,https://www.tripadvisor.com/Attraction_Review-g187147-d6584165-Reviews-La_Fontaine_Moliere-Paris_Ile_de_France.html,25 reviews,#258 of 576 Sights & Landmarks in Paris,
Porte Dauphine,https://www.tripadvisor.com/Attraction_Review-g187147-d3590352-Reviews-Porte_Dauphine-Paris_Ile_de_France.html,20 reviews,#259 of 576 Sights & Landmarks in Paris,
UNESCO Building,https://www.tripadvisor.com/Attraction_Review-g187147-d7085832-Reviews-UNESCO_Building-Paris_Ile_de_France.html,21 reviews,#262 of 576 Sights & Landmarks in Paris,1 booking option
Pont de Sully,https://www.tripadvisor.com/Attraction_Review-g187147-d10460878-Reviews-Pont_de_Sully-Paris_Ile_de_France.html,17 reviews,#264 of 576 Sights & Landmarks in Paris,
Square Louvois,https://www.tripadvisor.com/Attraction_Review-g187147-d7927578-Reviews-Square_Louvois-Paris_Ile_de_France.html,15 reviews,#265 of 576 Sights & Landmarks in Paris,
Les bouquinistes de paris,https://www.tripadvisor.com/Attraction_Review-g187147-d10777739-Reviews-Les_bouquinistes_de_paris-Paris_Ile_de_France.html,17 reviews,#266 of 576 Sights & Landmarks in Paris,
Rue de l'Universite,https://www.tripadvisor.com/Attraction_Review-g187147-d188154-Reviews-Rue_de_l_Universite-Paris_Ile_de_France.html,30 reviews,#267 of 576 Sights & Landmarks in Paris,
Rue de Lappe,https://www.tripadvisor.com/Attraction_Review-g187147-d10231177-Reviews-Rue_de_Lappe-Paris_Ile_de_France.html,19 reviews,#269 of 576 Sights & Landmarks in Paris,
Musee de la Sculpture en Plein Air,https://www.tripadvisor.com/Attraction_Review-g187147-d4749786-Reviews-Musee_de_la_Sculpture_en_Plein_Air-Paris_Ile_de_France.html,21 reviews,#270 of 576 Sights & Landmarks in Paris,
Carreau du Temple,https://www.tripadvisor.com/Attraction_Review-g187147-d6588965-Reviews-Carreau_du_Temple-Paris_Ile_de_France.html,29 reviews,#271 of 576 Sights & Landmarks in Paris,
Pont d'Arcole,https://www.tripadvisor.com/Attraction_Review-g187147-d8408066-Reviews-Pont_d_Arcole-Paris_Ile_de_France.html,18 reviews,#274 of 576 Sights & Landmarks in Paris,
Wall of Philip II Augustus,https://www.tripadvisor.com/Attraction_Review-g187147-d7088287-Reviews-Wall_of_Philip_II_Augustus-Paris_Ile_de_France.html,18 reviews,#275 of 576 Sights & Landmarks in Paris,
Rue du Chat qui Peche,https://www.tripadvisor.com/Attraction_Review-g187147-d5964537-Reviews-Rue_du_Chat_qui_Peche-Paris_Ile_de_France.html,41 reviews,#278 of 576 Sights & Landmarks in Paris,
Les Mots a la Bouche,https://www.tripadvisor.com/Attraction_Review-g187147-d4581280-Reviews-Les_Mots_a_la_Bouche-Paris_Ile_de_France.html,13 reviews,#285 of 576 Sights & Landmarks in Paris,
Chapelle Notre-Dame de Compassion,https://www.tripadvisor.com/Attraction_Review-g187147-d6728647-Reviews-Chapelle_Notre_Dame_de_Compassion-Paris_Ile_de_France.html,14 reviews,#290 of 576 Sights & Landmarks in Paris,
Cite de la Mode Et du Design,https://www.tripadvisor.com/Attraction_Review-g187147-d5970617-Reviews-Cite_de_la_Mode_Et_du_Design-Paris_Ile_de_France.html,27 reviews,#292 of 576 Sights & Landmarks in Paris,
Petit-Pont-Cardinal-Lustiger,https://www.tripadvisor.com/Attraction_Review-g187147-d10372975-Reviews-Petit_Pont_Cardinal_Lustiger-Paris_Ile_de_France.html,16 reviews,#294 of 576 Sights & Landmarks in Paris,
