Name,Web_link,No_of_reviews,Ranking,No_of_bookingoptions
Passage du Prado,https://www.tripadvisor.com/Attraction_Review-g187147-d10059330-Reviews-Passage_du_Prado-Paris_Ile_de_France.html,11 reviews,#368 of 576 Sights & Landmarks in Paris,
General Catroux Square,https://www.tripadvisor.com/Attraction_Review-g187147-d7162112-Reviews-General_Catroux_Square-Paris_Ile_de_France.html,6 reviews,#370 of 576 Sights & Landmarks in Paris,
Monument du Corps Expeditionnaire Russe,https://www.tripadvisor.com/Attraction_Review-g187147-d9788499-Reviews-Monument_du_Corps_Expeditionnaire_Russe-Paris_Ile_de_France.html,6 reviews,#374 of 576 Sights & Landmarks in Paris,
Rue du Temple,https://www.tripadvisor.com/Attraction_Review-g187147-d11959758-Reviews-Rue_du_Temple-Paris_Ile_de_France.html,4 reviews,#375 of 576 Sights & Landmarks in Paris,
Synagogue Buffault,https://www.tripadvisor.com/Attraction_Review-g187147-d6989349-Reviews-Synagogue_Buffault-Paris_Ile_de_France.html,4 reviews,#376 of 576 Sights & Landmarks in Paris,
Cite des Fleurs,https://www.tripadvisor.com/Attraction_Review-g187147-d7211800-Reviews-Cite_des_Fleurs-Paris_Ile_de_France.html,7 reviews,#382 of 576 Sights & Landmarks in Paris,
Chapelle Sainte Bernadette,https://www.tripadvisor.com/Attraction_Review-g187147-d10440681-Reviews-Chapelle_Sainte_Bernadette-Paris_Ile_de_France.html,5 reviews,#383 of 576 Sights & Landmarks in Paris,
Square Paul-Langevin,https://www.tripadvisor.com/Attraction_Review-g187147-d12004751-Reviews-Square_Paul_Langevin-Paris_Ile_de_France.html,6 reviews,#384 of 576 Sights & Landmarks in Paris,
Square Felix-Desruelles,https://www.tripadvisor.com/Attraction_Review-g187147-d11899062-Reviews-Square_Felix_Desruelles-Paris_Ile_de_France.html,4 reviews,#385 of 576 Sights & Landmarks in Paris,
Passage des Princes,https://www.tripadvisor.com/Attraction_Review-g187147-d12833294-Reviews-Passage_des_Princes-Paris_Ile_de_France.html,4 reviews,#387 of 576 Sights & Landmarks in Paris,
Editions Baleine,https://www.tripadvisor.com/Attraction_Review-g187147-d7034807-Reviews-Editions_Baleine-Paris_Ile_de_France.html,6 reviews,#390 of 576 Sights & Landmarks in Paris,
Pierre-and-Marie-Curie University,https://www.tripadvisor.com/Attraction_Review-g187147-d5608859-Reviews-Pierre_and_Marie_Curie_University-Paris_Ile_de_France.html,5 reviews,#393 of 576 Sights & Landmarks in Paris,
Pavilion Hermitage,https://www.tripadvisor.com/Attraction_Review-g187147-d6728642-Reviews-Pavilion_Hermitage-Paris_Ile_de_France.html,7 reviews,#394 of 576 Sights & Landmarks in Paris,
Moulin Radet,https://www.tripadvisor.com/Attraction_Review-g187147-d12726342-Reviews-Moulin_Radet-Paris_Ile_de_France.html,5 reviews,#399 of 576 Sights & Landmarks in Paris,
Place Camille Jullian,https://www.tripadvisor.com/Attraction_Review-g187147-d8639932-Reviews-Place_Camille_Jullian-Paris_Ile_de_France.html,6 reviews,#406 of 576 Sights & Landmarks in Paris,
La statue du General de Gaulle,https://www.tripadvisor.com/Attraction_Review-g187147-d12936651-Reviews-La_statue_du_General_de_Gaulle-Paris_Ile_de_France.html,4 reviews,#407 of 576 Sights & Landmarks in Paris,
Passage L'homme,https://www.tripadvisor.com/Attraction_Review-g187147-d7264138-Reviews-Passage_L_homme-Paris_Ile_de_France.html,5 reviews,#408 of 576 Sights & Landmarks in Paris,
Videosphere,https://www.tripadvisor.com/Attraction_Review-g187147-d4206341-Reviews-Videosphere-Paris_Ile_de_France.html,5 reviews,#410 of 576 Sights & Landmarks in Paris,
La Quatrieme Pomme,https://www.tripadvisor.com/Attraction_Review-g187147-d10737283-Reviews-La_Quatrieme_Pomme-Paris_Ile_de_France.html,4 reviews,#412 of 576 Sights & Landmarks in Paris,
Eglise Saint Honore d'Eylau,https://www.tripadvisor.com/Attraction_Review-g187147-d11959536-Reviews-Eglise_Saint_Honore_d_Eylau-Paris_Ile_de_France.html,2 reviews,#414 of 576 Sights & Landmarks in Paris,
Arboretum du bois de Vincennes,https://www.tripadvisor.com/Attraction_Review-g187147-d11547897-Reviews-Arboretum_du_bois_de_Vincennes-Paris_Ile_de_France.html,3 reviews,#415 of 576 Sights & Landmarks in Paris,
Statue de Beaumarchais,https://www.tripadvisor.com/Attraction_Review-g187147-d11718629-Reviews-Statue_de_Beaumarchais-Paris_Ile_de_France.html,4 reviews,#418 of 576 Sights & Landmarks in Paris,
Cour Damoye,https://www.tripadvisor.com/Attraction_Review-g187147-d10596774-Reviews-Cour_Damoye-Paris_Ile_de_France.html,4 reviews,#419 of 576 Sights & Landmarks in Paris,
Elephant Paname,https://www.tripadvisor.com/Attraction_Review-g187147-d4408607-Reviews-Elephant_Paname-Paris_Ile_de_France.html,7 reviews,#421 of 576 Sights & Landmarks in Paris,
La Butte Bergeyre,https://www.tripadvisor.com/Attraction_Review-g187147-d6631426-Reviews-La_Butte_Bergeyre-Paris_Ile_de_France.html,8 reviews,#423 of 576 Sights & Landmarks in Paris,
Cite Veron,https://www.tripadvisor.com/Attraction_Review-g187147-d3928887-Reviews-Cite_Veron-Paris_Ile_de_France.html,6 reviews,#431 of 576 Sights & Landmarks in Paris,
Place du Trocadero,https://www.tripadvisor.com/Attraction_Review-g187147-d12695471-Reviews-Place_du_Trocadero-Paris_Ile_de_France.html,2 reviews,#435 of 576 Sights & Landmarks in Paris,
Rue Reaumur,https://www.tripadvisor.com/Attraction_Review-g187147-d12982142-Reviews-Rue_Reaumur-Paris_Ile_de_France.html,2 reviews,#437 of 576 Sights & Landmarks in Paris,
