Hotel_Name,Hotel_Web_Link,Cheapest_Provider,Price,Review_Count,Distance,Amenities_1,Amenities_2
Hotel Baume,https://www.tripadvisor.com/Hotel_Review-g187147-d259351-Reviews-Hotel_Baume-Paris_Ile_de_France.html,Expedia.com,$216 ,410 reviews,0.7 miles,Free Wifi,Room Service
Hotel Crayon Rouge by Elegancia,https://www.tripadvisor.com/Hotel_Review-g187147-d6878364-Reviews-Hotel_Crayon_Rouge_by_Elegancia-Paris_Ile_de_France.html,Official Site,$109 ,255 reviews,0.7 miles,Free Wifi,Bar/Lounge
Hotel Odeon Saint-Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d230480-Reviews-Hotel_Odeon_Saint_Germain-Paris_Ile_de_France.html,Ctrip.com,$139 ,"1,118 reviews",0.7 miles,Free Wifi,Bar/Lounge
Hotel Odyssey by Elegancia,https://www.tripadvisor.com/Hotel_Review-g187147-d228813-Reviews-Hotel_Odyssey_by_Elegancia-Paris_Ile_de_France.html,Official Site,$90 ,658 reviews,0.7 miles,Free Wifi,Bar/Lounge
Hotel Quartier Latin,https://www.tripadvisor.com/Hotel_Review-g187147-d198049-Reviews-Hotel_Quartier_Latin-Paris_Ile_de_France.html,Expedia.com,$112 ,454 reviews,0.7 miles,Free Wifi,
Hotel Stella,https://www.tripadvisor.com/Hotel_Review-g187147-d589428-Reviews-Hotel_Stella-Paris_Ile_de_France.html,Booking.com,$101 ,74 reviews,0.7 miles,,
Hotel Zora,https://www.tripadvisor.com/Hotel_Review-g187147-d8867555-Reviews-Hotel_Zora-Paris_Ile_de_France.html,Booking.com,$102 ,18 reviews,0.7 miles,Free Internet,
Millesime Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d236579-Reviews-Millesime_Hotel-Paris_Ile_de_France.html,Travelocity,$254 ,492 reviews,0.7 miles,Free Wifi,Room Service
Grand Hotel du Palais Royal,https://www.tripadvisor.com/Hotel_Review-g187147-d617625-Reviews-Grand_Hotel_du_Palais_Royal-Paris_Ile_de_France.html,Hotels.com,$358 ,775 reviews,0.7 miles,Free Wifi,Restaurant
Hotel de Neuve by HappyCulture,https://www.tripadvisor.com/Hotel_Review-g187147-d234615-Reviews-Hotel_de_Neuve_by_HappyCulture-Paris_Ile_de_France.html,Official Site,$102 ,291 reviews,0.7 miles,Free Wifi,
