Hotel_Name,Hotel_Web_Link,Cheapest_Provider,Price,Review_Count,Distance,Amenities_1,Amenities_2
Melia Paris Notre-Dame,https://www.tripadvisor.com/Hotel_Review-g187147-d228850-Reviews-Melia_Paris_Notre_Dame-Paris_Ile_de_France.html,Melia.com,$155 ,945 reviews,0.4 miles,Free Wifi,Room Service
Hotel Saint-Honore,https://www.tripadvisor.com/Hotel_Review-g187147-d535859-Reviews-Hotel_Saint_Honore-Paris_Ile_de_France.html,Hotels.com,$122 ,216 reviews,0.4 miles,Free Wifi,
Citadines Saint-Germain-des-Pres Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d208096-Reviews-Citadines_Saint_Germain_des_Pres_Paris-Paris_Ile_de_France.html,Ctrip.com,$166 ,"1,943 reviews",0.4 miles,Free Wifi,Fitness center
Hotel Villa d'Estrees,https://www.tripadvisor.com/Hotel_Review-g187147-d267998-Reviews-Hotel_Villa_d_Estrees-Paris_Ile_de_France.html,Hotels.com,$271 ,351 reviews,0.4 miles,Free Wifi,Room Service
L'Empire Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d647228-Reviews-L_Empire_Paris-Paris_Ile_de_France.html,Hotel Website,$146 ,708 reviews,0.4 miles,Free Wifi,Restaurant
Hotel Residence des Arts,https://www.tripadvisor.com/Hotel_Review-g187147-d197429-Reviews-Hotel_Residence_des_Arts-Paris_Ile_de_France.html,Official Site,$143 ,252 reviews,0.4 miles,Free Wifi,Room Service
Le Relais du Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d222914-Reviews-Le_Relais_du_Louvre-Paris_Ile_de_France.html,Agoda.com,$158 ,686 reviews,0.4 miles,Free Wifi,Room Service
Hotel de la Place du Louvre - Esprit de France,https://www.tripadvisor.com/Hotel_Review-g187147-d248395-Reviews-Hotel_de_la_Place_du_Louvre_Esprit_de_France-Paris_Ile_de_France.html,Expedia.com,$100 ,492 reviews,0.4 miles,Free Wifi,Room Service
Hotel Eugenie,https://www.tripadvisor.com/Hotel_Review-g187147-d290433-Reviews-Hotel_Eugenie-Paris_Ile_de_France.html,Hotwire.com,$119 ,301 reviews,0.4 miles,Free Wifi,
Hotel Parc St. Severin - Esprit de France,https://www.tripadvisor.com/Hotel_Review-g187147-d194197-Reviews-Hotel_Parc_St_Severin_Esprit_de_France-Paris_Ile_de_France.html,Agoda.com,$160 ,788 reviews,0.4 miles,Free Wifi,Room Service
Holiday Inn Paris - Notre Dame,https://www.tripadvisor.com/Hotel_Review-g187147-d1597586-Reviews-Holiday_Inn_Paris_Notre_Dame-Paris_Ile_de_France.html,HolidayInn.com,$142 ,"1,632 reviews",0.4 miles,Free Wifi,Restaurant
Hotel du Cygne,https://www.tripadvisor.com/Hotel_Review-g187147-d239645-Reviews-Hotel_du_Cygne-Paris_Ile_de_France.html,Booking.com,$98 ,199 reviews,0.4 miles,Free Wifi,
Hotel Konfidentiel,https://www.tripadvisor.com/Hotel_Review-g187147-d1978931-Reviews-Hotel_Konfidentiel-Paris_Ile_de_France.html,Agoda.com,$205 ,196 reviews,0.4 miles,Free Wifi,Room Service
Hotel Georgette,https://www.tripadvisor.com/Hotel_Review-g187147-d239647-Reviews-Hotel_Georgette-Paris_Ile_de_France.html,Orbitz.com,$141 ,769 reviews,0.4 miles,Free Wifi,
Le Relais des Halles,https://www.tripadvisor.com/Hotel_Review-g187147-d650135-Reviews-Le_Relais_des_Halles-Paris_Ile_de_France.html,Expedia.com,$188 ,558 reviews,0.4 miles,Free Wifi,
"Hotel de Notre Dame ""Maitre Albert""",https://www.tripadvisor.com/Hotel_Review-g187147-d1062534-Reviews-Hotel_de_Notre_Dame_Maitre_Albert-Paris_Ile_de_France.html,Travelocity,$141 ,316 reviews,0.5 miles,Free Wifi,
Residence le St. Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d567403-Reviews-Residence_le_St_Germain-Paris_Ile_de_France.html,Orbitz.com,$100 ,59 reviews,0.5 miles,Free Wifi,
Hotel du Lys,https://www.tripadvisor.com/Hotel_Review-g187147-d219985-Reviews-Hotel_du_Lys-Paris_Ile_de_France.html,Expedia.com,$112 ,257 reviews,0.5 miles,Free Wifi,
Relais Christine,https://www.tripadvisor.com/Hotel_Review-g187147-d219977-Reviews-Relais_Christine-Paris_Ile_de_France.html,Agoda.com,$336 ,900 reviews,0.5 miles,Free Wifi,Room Service
Hotel d'Aubusson,https://www.tripadvisor.com/Hotel_Review-g187147-d194308-Reviews-Hotel_d_Aubusson-Paris_Ile_de_France.html,Expedia.com,$303 ,"1,064 reviews",0.5 miles,Free Wifi,Room Service
Hotel de Nesle,https://www.tripadvisor.com/Hotel_Review-g187147-d239640-Reviews-Hotel_de_Nesle-Paris_Ile_de_France.html,Booking.com,$106 ,389 reviews,0.5 miles,Free Wifi,
Hotel Studia,https://www.tripadvisor.com/Hotel_Review-g187147-d650188-Reviews-Hotel_Studia-Paris_Ile_de_France.html,Booking.com,$116 ,91 reviews,0.5 miles,,
Hotel Marignan,https://www.tripadvisor.com/Hotel_Review-g187147-d263659-Reviews-Hotel_Marignan-Paris_Ile_de_France.html,Booking.com,$90 ,777 reviews,0.5 miles,Free Wifi,Breakfast included
Hotel Le Home Latin,https://www.tripadvisor.com/Hotel_Review-g187147-d220001-Reviews-Hotel_Le_Home_Latin-Paris_Ile_de_France.html,Hotels.com,$94 ,554 reviews,0.5 miles,Free Wifi,
Best Western Jardin De Cluny,https://www.tripadvisor.com/Hotel_Review-g187147-d198051-Reviews-Best_Western_Jardin_De_Cluny-Paris_Ile_de_France.html,Booking.com,$126 ,819 reviews,0.5 miles,Free Wifi,Bar/Lounge
Best Western Premier Louvre Saint Honore,https://www.tripadvisor.com/Hotel_Review-g187147-d207751-Reviews-Best_Western_Premier_Louvre_Saint_Honore-Paris_Ile_de_France.html,Hotels.com,$146 ,145 reviews,0.5 miles,Free Wifi,Room Service
Hotel Abbatial Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d222897-Reviews-Hotel_Abbatial_Saint_Germain-Paris_Ile_de_France.html,Agoda.com,$98 ,"1,117 reviews",0.5 miles,Free Wifi,
Hotel Dauphine Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d194276-Reviews-Hotel_Dauphine_Saint_Germain-Paris_Ile_de_France.html,Official Site,$112 ,900 reviews,0.5 miles,Free Wifi,Bar/Lounge
Mercure Paris Notre Dame Saint Germain des Pres,https://www.tripadvisor.com/Hotel_Review-g187147-d208104-Reviews-Mercure_Paris_Notre_Dame_Saint_Germain_des_Pres-Paris_Ile_de_France.html,Booking.com,$135 ,852 reviews,0.5 miles,Free Wifi,Bar/Lounge
Prince de Conti,https://www.tripadvisor.com/Hotel_Review-g187147-d228777-Reviews-Prince_de_Conti-Paris_Ile_de_France.html,Agoda.com,$131 ,42 reviews,0.5 miles,Free Wifi,
Hotel du College de France,https://www.tripadvisor.com/Hotel_Review-g187147-d271939-Reviews-Hotel_du_College_de_France-Paris_Ile_de_France.html,Booking.com,$106 ,964 reviews,0.5 miles,Free Wifi,
Tiquetonne,https://www.tripadvisor.com/Hotel_Review-g187147-d235613-Reviews-Tiquetonne-Paris_Ile_de_France.html,Expedia.com,$68 ,592 reviews,0.5 miles,Free Wifi,
Hotel St. Andre des Arts,https://www.tripadvisor.com/Hotel_Review-g187147-d239623-Reviews-Hotel_St_Andre_des_Arts-Paris_Ile_de_France.html,Travelocity,$114 ,361 reviews,0.5 miles,Free Wifi,Room Service
Grand Hotel Malher,https://www.tripadvisor.com/Hotel_Review-g187147-d189693-Reviews-Grand_Hotel_Malher-Paris_Ile_de_France.html,Hotels.com,$156 ,201 reviews,0.5 miles,Free Wifi,
Hotel Diana,https://www.tripadvisor.com/Hotel_Review-g187147-d567154-Reviews-Hotel_Diana-Paris_Ile_de_France.html,Orbitz.com,$129 ,435 reviews,0.5 miles,Free Wifi,
Hotel Le Regent,https://www.tripadvisor.com/Hotel_Review-g187147-d236507-Reviews-Hotel_Le_Regent-Paris_Ile_de_France.html,Hotels.com,$146 ,333 reviews,0.5 miles,Free Wifi,Breakfast included
Hotel Le Petit Trianon,https://www.tripadvisor.com/Hotel_Review-g187147-d290406-Reviews-Hotel_Le_Petit_Trianon-Paris_Ile_de_France.html,Travelocity,$86 ,230 reviews,0.6 miles,Free Wifi,
Hotel Belloy Saint-Germain by HappyCulture,https://www.tripadvisor.com/Hotel_Review-g187147-d198026-Reviews-Hotel_Belloy_Saint_Germain_by_HappyCulture-Paris_Ile_de_France.html,Ctrip.com,$165 ,680 reviews,0.6 miles,Free Wifi,
Hotel Claude Bernard Saint-Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d194273-Reviews-Hotel_Claude_Bernard_Saint_Germain-Paris_Ile_de_France.html,Agoda.com,$100 ,235 reviews,0.6 miles,Free Wifi,
Hotel La Lanterne,https://www.tripadvisor.com/Hotel_Review-g187147-d8711122-Reviews-Hotel_La_Lanterne-Paris_Ile_de_France.html,Expedia.com,$207 ,291 reviews,0.6 miles,Free Wifi,Pool
Hotel Les Bulles de Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d238380-Reviews-Hotel_Les_Bulles_de_Paris-Paris_Ile_de_France.html,Expedia.com,$133 ,264 reviews,0.6 miles,Free Wifi,
Hotel Saint Pierre,https://www.tripadvisor.com/Hotel_Review-g187147-d269848-Reviews-Hotel_Saint_Pierre-Paris_Ile_de_France.html,Agoda.com,$89 ,332 reviews,0.6 miles,Free Wifi,
Left Bank Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d207573-Reviews-Left_Bank_Saint_Germain-Paris_Ile_de_France.html,Agoda.com,$146 ,865 reviews,0.6 miles,Free Wifi,
Victoires Opera Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d198095-Reviews-Victoires_Opera_Hotel-Paris_Ile_de_France.html,Hotels.com,$144 ,297 reviews,0.6 miles,Free Wifi,Room Service
Grand Hotel de l'Univers,https://www.tripadvisor.com/Hotel_Review-g187147-d222691-Reviews-Grand_Hotel_de_l_Univers-Paris_Ile_de_France.html,Booking.com,$128 ,384 reviews,0.6 miles,Free Wifi,Room Service
Hotel du Commerce,https://www.tripadvisor.com/Hotel_Review-g187147-d495937-Reviews-Hotel_du_Commerce-Paris_Ile_de_France.html,Hotwire.com,$65 ,466 reviews,0.6 miles,Free Wifi,
Hotel Saint-Jacques,https://www.tripadvisor.com/Hotel_Review-g187147-d260834-Reviews-Hotel_Saint_Jacques-Paris_Ile_de_France.html,Travelocity,$110 ,"1,006 reviews",0.6 miles,Free Wifi,Bar/Lounge
Le Petit Belloy Saint-Germain by HappyCulture,https://www.tripadvisor.com/Hotel_Review-g187147-d1199305-Reviews-Le_Petit_Belloy_Saint_Germain_by_HappyCulture-Paris_Ile_de_France.html,Official Site,$103 ,381 reviews,0.6 miles,Free Wifi,
Moderne St-Germain Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197634-Reviews-Moderne_St_Germain_Hotel-Paris_Ile_de_France.html,Expedia.com,$111 ,583 reviews,0.6 miles,Free Wifi,Room Service
Villa Pantheon,https://www.tripadvisor.com/Hotel_Review-g187147-d229577-Reviews-Villa_Pantheon-Paris_Ile_de_France.html,Ctrip.com,$174 ,781 reviews,0.6 miles,Free Wifi,Bar/Lounge
Agora Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d222912-Reviews-Agora_Saint_Germain-Paris_Ile_de_France.html,Travelocity,$108 ,959 reviews,0.6 miles,Free Wifi,
Hotel Atmospheres,https://www.tripadvisor.com/Hotel_Review-g187147-d3477124-Reviews-Hotel_Atmospheres-Paris_Ile_de_France.html,Agoda.com,$154 ,"1,716 reviews",0.6 miles,Free Wifi,Bar/Lounge
Hotel Central Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d239279-Reviews-Hotel_Central_Saint_Germain-Paris_Ile_de_France.html,Agoda.com,$115 ,410 reviews,0.6 miles,Free Wifi,
Hotel Prince de Conde,https://www.tripadvisor.com/Hotel_Review-g187147-d233771-Reviews-Hotel_Prince_de_Conde-Paris_Ile_de_France.html,Hotwire.com,$156 ,136 reviews,0.6 miles,Free Wifi,Bar/Lounge
Hotel Victoire & Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d10227714-Reviews-Hotel_Victoire_Germain-Paris_Ile_de_France.html,Orbitz.com,$149 ,79 reviews,0.6 miles,Free Wifi,
Hotel de JoBo,https://www.tripadvisor.com/Hotel_Review-g187147-d10386434-Reviews-Hotel_de_JoBo-Paris_Ile_de_France.html,Expedia.com,$241 ,195 reviews,0.6 miles,Free Wifi,Bar/Lounge
Hotel de Lille- louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d968292-Reviews-Hotel_de_Lille_louvre-Paris_Ile_de_France.html,Hotels.com,$66 ,189 reviews,0.6 miles,Free Wifi,
Hotel de Suez,https://www.tripadvisor.com/Hotel_Review-g187147-d506713-Reviews-Hotel_de_Suez-Paris_Ile_de_France.html,Official Site,$79 ,740 reviews,0.6 miles,Free Wifi,
Hotel Saint Paul Le Marais,https://www.tripadvisor.com/Hotel_Review-g187147-d195456-Reviews-Hotel_Saint_Paul_Le_Marais-Paris_Ile_de_France.html,Hotwire.com,$285 ,157 reviews,0.6 miles,Free Wifi,Bar/Lounge
Relais Medicis,https://www.tripadvisor.com/Hotel_Review-g187147-d233511-Reviews-Relais_Medicis-Paris_Ile_de_France.html,Booking.com,$172 ,101 reviews,0.6 miles,Free Wifi,Room Service
