Airline_Name,Stops,departure,arrival,arrival_time,Flight_duration,No_of_stops,return_departure,return_arrival,return_duration,flight_Score,Cheapest_Price,Cheapest_Website
,2 stops,,,11:30 AM,16h 30m,2 stops,,,4h 55m,,,
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,2 stops,CDG 7:00 AM,BOS 3:55 PM,14h 55m,FlyScore: 7.1,$564 ,United
,,,,,,,,,,,,
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,2 stops,CDG 7:00 AM,BOS 6:00 PM,17h 0m,FlyScore: 7.1,$564 ,United
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,2 stops,CDG 7:00 AM,BOS 6:39 PM,17h 39m,FlyScore: 6.8,$564 ,United
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,2 stops,CDG 7:00 AM,BOS 3:55 PM,14h 55m,FlyScore: 7.1,$564 ,United
,,,,,,,,,,,,
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,2 stops,CDG 7:00 AM,BOS 5:00 PM,16h 0m,FlyScore: 7.1,$564 ,United
Lufthansa,1 stop,BOS 8:20 PM,CDG,1:55 PM,11h 35m,1 stop,CDG 7:00 AM,BOS 7:55 PM,18h 55m,FlyScore: 7.0,$564 ,Vayama
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,2 stops,CDG 7:00 AM,BOS 7:30 PM,18h 30m,FlyScore: 7.0,$564 ,United
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,2 stops,CDG 7:00 AM,BOS 5:00 PM,16h 0m,FlyScore: 7.1,$564 ,United
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,2 stops,CDG 7:00 AM,BOS 6:00 PM,17h 0m,FlyScore: 7.0,$564 ,United
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,2 stops,CDG 7:00 AM,BOS 3:55 PM,14h 55m,FlyScore: 7.0,$564 ,United
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,2 stops,CDG 7:00 AM,BOS 6:39 PM,17h 39m,FlyScore: 6.7,$564 ,United
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,2 stops,CDG 7:00 AM,BOS 6:00 PM,17h 0m,FlyScore: 7.0,$564 ,United
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,2 stops,CDG 7:00 AM,BOS 6:39 PM,17h 39m,FlyScore: 6.7,$564 ,United
,,,,,,,,,,,,
,,,,,,,,,,,,
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,2 stops,CDG 7:00 AM,BOS 7:30 PM,18h 30m,FlyScore: 7.0,$564 ,United
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,2 stops,CDG 7:00 AM,BOS 5:00 PM,16h 0m,FlyScore: 7.0,$564 ,United
,2 stops,,,11:30 AM,16h 30m,2 stops,,,4h 55m,,,
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,2 stops,CDG 7:00 AM,BOS 7:30 PM,18h 30m,FlyScore: 7.0,$564 ,United
,,,,,,,,,,,,
Lufthansa,1 stop,BOS 8:20 PM,CDG,5:10 PM,14h 50m,1 stop,CDG 7:00 AM,BOS 7:55 PM,18h 55m,FlyScore: 6.8,$564 ,Vayama
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,2 stops,CDG 7:00 AM,BOS 3:55 PM,14h 55m,FlyScore: 7.0,$564 ,United
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,2 stops,CDG 7:00 AM,BOS 3:55 PM,14h 55m,FlyScore: 6.9,$564 ,United
,,,,,,,,,,,,
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,2 stops,CDG 7:00 AM,BOS 6:00 PM,17h 0m,FlyScore: 6.9,$564 ,United
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,2 stops,CDG 7:00 AM,BOS 6:39 PM,17h 39m,FlyScore: 6.6,$564 ,United
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,2 stops,CDG 7:00 AM,BOS 5:00 PM,16h 0m,FlyScore: 6.9,$564 ,United
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,2 stops,CDG 7:00 AM,BOS 5:00 PM,16h 0m,FlyScore: 6.9,$564 ,United
United,1 stop,BOS 7:02 AM,CDG,9:30 AM,20h 28m,2 stops,CDG 7:00 AM,BOS 3:55 PM,14h 55m,FlyScore: 6.9,$564 ,United
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,2 stops,CDG 7:00 AM,BOS 7:30 PM,18h 30m,FlyScore: 6.9,$564 ,United
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,2 stops,CDG 7:00 AM,BOS 6:00 PM,17h 0m,FlyScore: 6.9,$564 ,United
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,2 stops,CDG 7:00 AM,BOS 6:00 PM,17h 0m,FlyScore: 6.8,$564 ,United
Lufthansa,1 stop,BOS 8:20 PM,CDG,7:25 PM,17h 5m,1 stop,CDG 7:00 AM,BOS 7:55 PM,18h 55m,FlyScore: 6.7,$564 ,Vayama
,,,,,,,,,,,,
,,,,,,,,,,,,
United,1 stop,BOS 7:02 AM,CDG,9:30 AM,20h 28m,2 stops,CDG 7:00 AM,BOS 5:00 PM,16h 0m,FlyScore: 6.9,$564 ,United
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,2 stops,CDG 7:00 AM,BOS 6:39 PM,17h 39m,FlyScore: 6.5,$564 ,United
,2 stops,,,11:30 AM,16h 30m,2 stops,,,4h 55m,,,
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,2 stops,CDG 7:00 AM,BOS 6:39 PM,17h 39m,FlyScore: 6.5,$564 ,United
,,,,,,,,,,,,
United,1 stop,BOS 5:00 AM,CDG,9:30 AM,22h 30m,2 stops,CDG 7:00 AM,BOS 3:55 PM,14h 55m,FlyScore: 6.8,$564 ,United
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,2 stops,CDG 7:00 AM,BOS 7:30 PM,18h 30m,FlyScore: 6.8,$564 ,United
United,1 stop,BOS 7:02 AM,CDG,9:30 AM,20h 28m,2 stops,CDG 7:00 AM,BOS 6:00 PM,17h 0m,FlyScore: 6.9,$564 ,United
,,,,,,,,,,,,
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,2 stops,CDG 7:00 AM,BOS 7:30 PM,18h 30m,FlyScore: 6.8,$564 ,United
United,1 stop,BOS 7:02 AM,CDG,9:30 AM,20h 28m,2 stops,CDG 7:00 AM,BOS 6:39 PM,17h 39m,FlyScore: 6.5,$564 ,United
United,1 stop,BOS 5:00 AM,CDG,9:30 AM,22h 30m,2 stops,CDG 7:00 AM,BOS 5:00 PM,16h 0m,FlyScore: 6.7,$564 ,United
